"Pavilhão Municipal (PVM)","21:54","21:42","22:00","21:48","22:06","22:23","22:12","22:30","22:18","22:36","22:53","22:42","23:00","22:48","23:06","23:23","23:12","23:30","23:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jardim do Império (JIM)","21:55","21:43","22:01","21:49","22:07","22:24","22:13","22:31","22:19","22:37","22:54","22:43","23:01","22:49","23:07","23:24","23:13","23:31","23:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mercado Municipal (MMC1)","21:56","21:44","22:02","21:50","22:08","22:25","22:14","22:32","22:20","22:38","22:55","22:44","23:02","22:50","23:08","23:25","23:14","23:32","23:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tempo Suporte/Wait Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","1","","3","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLIENT TIME:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025/09/28 17:08:51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SHIFT TIME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STOP NAME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PARAGENS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saída Rec./Leave Depot","21:30","21:27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moinho (Estação C.F.) (MES)","","21:35","21:45","21:55","22:05","22:15","22:25","22:35","22:45","22:55","23:05","23:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J.F. Moinho (JFM)","","21:35","21:45","21:55","22:05","22:15","22:25","22:35","22:45","22:55","23:05","23:15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alameda de Camões (ALC)","","21:36","21:46","21:56","22:06","22:16","22:26","22:36","22:46","22:56","23:06","23:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moinho (Rotunda) (MRT)","","21:36","21:46","21:56","22:06","22:16","22:26","22:36","22:46","22:56","23:06","23:16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bairro da Represa (BRP)","","21:37","21:47","21:57","22:07","22:17","22:27","22:37","22:47","22:57","23:07","23:17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barragem do Moinho (BRM)","","21:38","21:48","21:58","22:08","22:18","22:28","22:38","22:48","22:58","23:08","23:18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas Retail Park (CRP)","","21:39","21:49","21:59","22:09","22:19","22:29","22:39","22:49","22:59","23:09","23:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Avenida da Europa (AVE)","","21:39","21:49","21:59","22:09","22:19","22:29","22:39","22:49","22:59","23:09","23:19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Canelas (Escola) (CES)","","21:40","21:50","22:00","22:10","22:20","22:30","22:40","22:50","23:00","23:10","23:20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
